Time [seconds]	Counts
4.98531e+11	560
1.49559e+12	524
2.49266e+12	560
3.48972e+12	520
4.48678e+12	527
5.48384e+12	561
6.48091e+12	541
7.47797e+12	553
8.47503e+12	608
9.47209e+12	524
1.04692e+13	566
1.14662e+13	593
1.24633e+13	561
1.34603e+13	521
1.44574e+13	535
1.54545e+13	564
1.64515e+13	548
1.74486e+13	548
1.84457e+13	539
1.94427e+13	526
2.04398e+13	574
2.14368e+13	592
2.24339e+13	564
2.3431e+13	554
2.4428e+13	568
2.54251e+13	574
2.64222e+13	591
2.74192e+13	514
2.84163e+13	551
2.94133e+13	559
3.04104e+13	531
3.14075e+13	545
3.24045e+13	537
3.34016e+13	547
3.43987e+13	553
3.53957e+13	526
3.63928e+13	556
3.73898e+13	630
3.83869e+13	567
3.9384e+13	526
4.0381e+13	510
4.13781e+13	543
4.23752e+13	567
4.33722e+13	582
4.43693e+13	556
4.53663e+13	552
4.63634e+13	604
4.73605e+13	534
4.83575e+13	542
4.93546e+13	539
5.03517e+13	535
5.13487e+13	547
5.23458e+13	542
5.33428e+13	589
5.43399e+13	561
5.5337e+13	544
5.6334e+13	559
5.73311e+13	543
5.83282e+13	506
5.93252e+13	505
6.03223e+13	547
6.13193e+13	568
6.23164e+13	589
6.33135e+13	565
6.43105e+13	539
6.53076e+13	519
6.63047e+13	553
6.73017e+13	531
6.82988e+13	572
6.92958e+13	536
7.02929e+13	578
7.129e+13	515
7.2287e+13	529
7.32841e+13	543
7.42811e+13	580
7.52782e+13	557
7.62753e+13	519
7.72723e+13	540
7.82694e+13	512
7.92665e+13	535
8.02635e+13	595
8.12606e+13	551
8.22576e+13	574
8.32547e+13	540
8.42518e+13	594
8.52488e+13	578
8.62459e+13	524
8.7243e+13	549
8.824e+13	561
8.92371e+13	525
9.02342e+13	552
9.12312e+13	547
9.22283e+13	515
9.32253e+13	526
9.42224e+13	509
9.52195e+13	540
9.62165e+13	516
9.72136e+13	536
9.82107e+13	585
9.92077e+13	552
1.00205e+14	552
1.01202e+14	523
1.02199e+14	572
1.03196e+14	510
1.04193e+14	574
1.0519e+14	576
1.06187e+14	538
1.07184e+14	535
1.08181e+14	589
1.09178e+14	528
1.10175e+14	526
1.11172e+14	579
1.1217e+14	486
1.13167e+14	567
