Time [ns]	Counts
-1995	0
-1985	0
-1975	1
-1965	0
-1955	1
-1945	0
-1935	2
-1925	0
-1915	0
-1905	0
-1895	0
-1885	0
-1875	1
-1865	1
-1855	1
-1845	2
-1835	1
-1825	0
-1815	2
-1805	0
-1795	0
-1785	0
-1775	0
-1765	0
-1755	1
-1745	0
-1735	1
-1725	1
-1715	0
-1705	0
-1695	0
-1685	0
-1675	0
-1665	0
-1655	0
-1645	0
-1635	0
-1625	0
-1615	1
-1605	1
-1595	0
-1585	0
-1575	0
-1565	0
-1555	0
-1545	0
-1535	0
-1525	1
-1515	1
-1505	0
-1495	1
-1485	0
-1475	0
-1465	0
-1455	0
-1445	0
-1435	0
-1425	0
-1415	1
-1405	0
-1395	0
-1385	0
-1375	0
-1365	1
-1355	0
-1345	1
-1335	0
-1325	0
-1315	0
-1305	0
-1295	1
-1285	0
-1275	0
-1265	1
-1255	0
-1245	0
-1235	2
-1225	0
-1215	0
-1205	0
-1195	1
-1185	1
-1175	0
-1165	1
-1155	1
-1145	1
-1135	0
-1125	0
-1115	0
-1105	0
-1095	0
-1085	1
-1075	0
-1065	0
-1055	0
-1045	0
-1035	0
-1025	0
-1015	0
-1005	2
-995	2
-985	0
-975	0
-965	1
-955	0
-945	0
-935	1
-925	1
-915	2
-905	0
-895	1
-885	0
-875	2
-865	2
-855	0
-845	1
-835	0
-825	0
-815	0
-805	0
-795	1
-785	1
-775	1
-765	1
-755	0
-745	0
-735	2
-725	2
-715	1
-705	0
-695	2
-685	0
-675	0
-665	0
-655	0
-645	1
-635	0
-625	1
-615	0
-605	0
-595	0
-585	1
-575	1
-565	1
-555	1
-545	1
-535	1
-525	0
-515	0
-505	1
-495	3
-485	3
-475	2
-465	1
-455	0
-445	0
-435	0
-425	0
-415	0
-405	1
-395	0
-385	2
-375	0
-365	2
-355	0
-345	0
-335	0
-325	1
-315	0
-305	1
-295	1
-285	0
-275	1
-265	1
-255	0
-245	1
-235	0
-225	0
-215	0
-205	0
-195	1
-185	0
-175	0
-165	2
-155	0
-145	1
-135	0
-125	0
-115	0
-105	0
-95	0
-85	0
-75	0
-65	0
-55	0
-45	0
-35	0
-25	1
-15	205
-5	176
5	1
15	1
25	1
35	0
45	0
55	0
65	2
75	1
85	0
95	1
105	0
115	0
125	0
135	0
145	1
155	0
165	0
175	1
185	0
195	0
205	0
215	1
225	0
235	0
245	0
255	1
265	0
275	2
285	2
295	1
305	1
315	1
325	1
335	0
345	1
355	1
365	0
375	1
385	0
395	0
405	2
415	0
425	0
435	0
445	1
455	0
465	2
475	1
485	0
495	1
505	0
515	1
525	1
535	0
545	1
555	1
565	1
575	0
585	2
595	2
605	0
615	0
625	1
635	0
645	2
655	1
665	2
675	1
685	0
695	0
705	2
715	0
725	4
735	1
745	0
755	1
765	0
775	1
785	0
795	0
805	1
815	0
825	1
835	0
845	0
855	0
865	0
875	0
885	2
895	1
905	0
915	0
925	0
935	0
945	1
955	0
965	3
975	0
985	0
995	1
1005	2
1015	1
1025	0
1035	0
1045	0
1055	1
1065	0
1075	1
1085	0
1095	1
1105	1
1115	0
1125	1
1135	0
1145	0
1155	1
1165	2
1175	0
1185	0
1195	0
1205	0
1215	0
1225	1
1235	1
1245	0
1255	2
1265	0
1275	1
1285	0
1295	0
1305	2
1315	0
1325	0
1335	0
1345	0
1355	1
1365	0
1375	0
1385	2
1395	0
1405	1
1415	0
1425	0
1435	2
1445	0
1455	0
1465	0
1475	0
1485	1
1495	2
1505	0
1515	0
1525	2
1535	0
1545	1
1555	1
1565	0
1575	1
1585	0
1595	0
1605	1
1615	0
1625	0
1635	1
1645	0
1655	0
1665	0
1675	0
1685	0
1695	1
1705	0
1715	0
1725	0
1735	1
1745	2
1755	1
1765	1
1775	0
1785	0
1795	1
1805	1
1815	1
1825	0
1835	3
1845	0
1855	0
1865	1
1875	0
1885	0
1895	0
1905	0
1915	2
1925	0
1935	0
1945	1
1955	0
1965	0
1975	1
1985	0
1995	0
