Time [seconds]	Counts
4.98539e+11	305
1.49562e+12	310
2.4927e+12	323
3.48978e+12	328
4.48686e+12	293
5.48393e+12	332
6.48101e+12	326
7.47809e+12	325
8.47517e+12	331
9.47225e+12	293
1.04693e+13	358
1.14664e+13	313
1.24635e+13	334
1.34606e+13	315
1.44576e+13	319
1.54547e+13	307
1.64518e+13	316
1.74489e+13	314
1.8446e+13	318
1.9443e+13	364
2.04401e+13	343
2.14372e+13	356
2.24343e+13	341
2.34314e+13	309
2.44284e+13	339
2.54255e+13	292
2.64226e+13	305
2.74197e+13	313
2.84168e+13	308
2.94138e+13	281
3.04109e+13	314
3.1408e+13	299
3.24051e+13	310
3.34021e+13	324
3.43992e+13	337
3.53963e+13	312
3.63934e+13	333
3.73905e+13	299
3.83875e+13	317
3.93846e+13	323
4.03817e+13	291
4.13788e+13	320
4.23759e+13	313
4.33729e+13	316
4.437e+13	310
4.53671e+13	318
4.63642e+13	315
4.73613e+13	318
4.83583e+13	307
4.93554e+13	318
5.03525e+13	315
5.13496e+13	312
5.23466e+13	318
5.33437e+13	322
5.43408e+13	330
5.53379e+13	339
5.6335e+13	307
5.7332e+13	309
5.83291e+13	303
5.93262e+13	353
6.03233e+13	308
6.13204e+13	298
6.23174e+13	322
6.33145e+13	327
6.43116e+13	295
6.53087e+13	303
6.63058e+13	308
6.73028e+13	325
6.82999e+13	359
6.9297e+13	310
7.02941e+13	286
7.12911e+13	311
7.22882e+13	328
7.32853e+13	291
7.42824e+13	326
7.52795e+13	318
7.62765e+13	286
7.72736e+13	321
7.82707e+13	323
7.92678e+13	312
8.02649e+13	304
8.12619e+13	330
8.2259e+13	316
8.32561e+13	327
8.42532e+13	290
8.52503e+13	314
8.62473e+13	334
8.72444e+13	329
8.82415e+13	315
8.92386e+13	321
9.02356e+13	310
9.12327e+13	326
9.22298e+13	352
9.32269e+13	312
9.4224e+13	337
9.5221e+13	313
9.62181e+13	322
9.72152e+13	340
9.82123e+13	299
9.92094e+13	327
1.00206e+14	319
1.01204e+14	301
1.02201e+14	269
1.03198e+14	306
1.04195e+14	283
1.05192e+14	336
1.06189e+14	301
1.07186e+14	299
1.08183e+14	314
1.0918e+14	353
1.10177e+14	350
1.11174e+14	347
1.12171e+14	307
1.13168e+14	335
1.14166e+14	306
1.15163e+14	290
1.1616e+14	308
1.17157e+14	302
1.18154e+14	308
1.19151e+14	315
1.20148e+14	321
1.21145e+14	337
1.22142e+14	320
1.23139e+14	297
1.24136e+14	271
1.25133e+14	342
1.2613e+14	311
1.27128e+14	313
1.28125e+14	317
1.29122e+14	308
1.30119e+14	298
1.31116e+14	327
1.32113e+14	310
1.3311e+14	328
1.34107e+14	321
1.35104e+14	321
1.36101e+14	306
1.37098e+14	305
1.38095e+14	325
1.39093e+14	312
1.4009e+14	335
1.41087e+14	328
1.42084e+14	298
1.43081e+14	310
1.44078e+14	298
1.45075e+14	305
1.46072e+14	298
1.47069e+14	310
1.48066e+14	320
1.49063e+14	297
1.5006e+14	288
1.51057e+14	362
1.52055e+14	308
1.53052e+14	300
1.54049e+14	293
1.55046e+14	297
1.56043e+14	340
1.5704e+14	307
1.58037e+14	333
1.59034e+14	314
1.60031e+14	348
1.61028e+14	306
1.62025e+14	329
1.63022e+14	347
1.64019e+14	329
1.65017e+14	298
1.66014e+14	283
1.67011e+14	344
1.68008e+14	317
1.69005e+14	298
1.70002e+14	334
1.70999e+14	332
1.71996e+14	340
1.72993e+14	311
1.7399e+14	338
1.74987e+14	349
1.75984e+14	331
1.76982e+14	302
1.77979e+14	308
1.78976e+14	319
1.79973e+14	337
1.8097e+14	311
1.81967e+14	335
1.82964e+14	297
1.83961e+14	330
1.84958e+14	333
1.85955e+14	304
1.86952e+14	334
1.87949e+14	330
1.88946e+14	321
1.89944e+14	311
1.90941e+14	325
1.91938e+14	315
1.92935e+14	336
1.93932e+14	320
1.94929e+14	298
1.95926e+14	309
1.96923e+14	312
1.9792e+14	280
1.98917e+14	324
1.99914e+14	290
2.00911e+14	320
2.01908e+14	313
2.02906e+14	303
2.03903e+14	345
2.049e+14	337
2.05897e+14	295
2.06894e+14	311
2.07891e+14	335
2.08888e+14	308
2.09885e+14	345
2.10882e+14	324
2.11879e+14	309
2.12876e+14	316
2.13873e+14	328
2.14871e+14	315
2.15868e+14	289
2.16865e+14	310
2.17862e+14	320
2.18859e+14	334
2.19856e+14	316
2.20853e+14	288
2.2185e+14	340
2.22847e+14	329
2.23844e+14	317
2.24841e+14	296
2.25838e+14	304
2.26835e+14	286
2.27833e+14	303
2.2883e+14	277
2.29827e+14	346
2.30824e+14	290
2.31821e+14	342
2.32818e+14	319
2.33815e+14	308
2.34812e+14	312
2.35809e+14	314
2.36806e+14	317
2.37803e+14	323
2.388e+14	303
2.39797e+14	294
2.40795e+14	269
2.41792e+14	318
2.42789e+14	307
2.43786e+14	321
2.44783e+14	298
2.4578e+14	316
2.46777e+14	320
2.47774e+14	290
2.48771e+14	329
2.49768e+14	332
2.50765e+14	317
2.51762e+14	310
2.5276e+14	290
2.53757e+14	352
2.54754e+14	326
2.55751e+14	322
2.56748e+14	323
2.57745e+14	334
2.58742e+14	309
2.59739e+14	329
2.60736e+14	304
2.61733e+14	326
2.6273e+14	347
2.63727e+14	288
2.64724e+14	320
2.65722e+14	325
2.66719e+14	270
2.67716e+14	328
2.68713e+14	303
2.6971e+14	296
2.70707e+14	287
2.71704e+14	318
2.72701e+14	291
2.73698e+14	285
2.74695e+14	294
2.75692e+14	333
2.76689e+14	359
2.77686e+14	303
2.78684e+14	349
2.79681e+14	316
2.80678e+14	309
2.81675e+14	317
2.82672e+14	303
2.83669e+14	312
2.84666e+14	329
2.85663e+14	350
2.8666e+14	314
2.87657e+14	299
2.88654e+14	310
2.89651e+14	283
2.90649e+14	316
2.91646e+14	330
2.92643e+14	293
2.9364e+14	295
2.94637e+14	337
2.95634e+14	318
2.96631e+14	315
2.97628e+14	294
2.98625e+14	303
2.99622e+14	283
