Time [ns]	Counts
-1995	3
-1985	0
-1975	4
-1965	1
-1955	0
-1945	1
-1935	3
-1925	2
-1915	2
-1905	0
-1895	1
-1885	4
-1875	3
-1865	1
-1855	0
-1845	3
-1835	1
-1825	0
-1815	0
-1805	3
-1795	1
-1785	2
-1775	0
-1765	1
-1755	3
-1745	1
-1735	0
-1725	2
-1715	1
-1705	2
-1695	0
-1685	4
-1675	0
-1665	2
-1655	2
-1645	1
-1635	0
-1625	2
-1615	3
-1605	0
-1595	2
-1585	1
-1575	2
-1565	1
-1555	1
-1545	1
-1535	1
-1525	3
-1515	2
-1505	1
-1495	2
-1485	3
-1475	2
-1465	1
-1455	3
-1445	1
-1435	2
-1425	1
-1415	1
-1405	3
-1395	1
-1385	1
-1375	2
-1365	3
-1355	3
-1345	1
-1335	2
-1325	1
-1315	2
-1305	2
-1295	3
-1285	4
-1275	1
-1265	6
-1255	4
-1245	3
-1235	1
-1225	3
-1215	2
-1205	0
-1195	3
-1185	3
-1175	1
-1165	2
-1155	2
-1145	1
-1135	5
-1125	1
-1115	4
-1105	3
-1095	1
-1085	2
-1075	5
-1065	2
-1055	2
-1045	2
-1035	2
-1025	2
-1015	3
-1005	0
-995	4
-985	0
-975	0
-965	0
-955	2
-945	3
-935	0
-925	0
-915	3
-905	2
-895	2
-885	1
-875	1
-865	3
-855	3
-845	4
-835	3
-825	2
-815	2
-805	1
-795	3
-785	1
-775	3
-765	0
-755	2
-745	0
-735	3
-725	2
-715	1
-705	0
-695	3
-685	5
-675	2
-665	2
-655	4
-645	2
-635	3
-625	0
-615	2
-605	1
-595	0
-585	2
-575	2
-565	4
-555	3
-545	2
-535	1
-525	3
-515	2
-505	2
-495	4
-485	1
-475	2
-465	1
-455	1
-445	2
-435	0
-425	2
-415	2
-405	0
-395	3
-385	0
-375	1
-365	3
-355	1
-345	4
-335	2
-325	2
-315	2
-305	0
-295	1
-285	1
-275	1
-265	0
-255	1
-245	2
-235	2
-225	1
-215	2
-205	2
-195	5
-185	4
-175	1
-165	2
-155	1
-145	4
-135	2
-125	3
-115	1
-105	2
-95	1
-85	1
-75	4
-65	0
-55	1
-45	3
-35	7
-25	78
-15	2581
-5	2101
5	35
15	4
25	1
35	5
45	1
55	1
65	1
75	3
85	0
95	4
105	0
115	0
125	2
135	1
145	2
155	2
165	2
175	1
185	0
195	3
205	1
215	2
225	1
235	1
245	0
255	3
265	5
275	0
285	4
295	4
305	4
315	1
325	0
335	1
345	0
355	2
365	0
375	1
385	0
395	2
405	2
415	1
425	0
435	1
445	1
455	3
465	2
475	0
485	0
495	3
505	1
515	1
525	1
535	2
545	2
555	0
565	1
575	3
585	1
595	2
605	0
615	2
625	1
635	3
645	6
655	1
665	5
675	0
685	2
695	2
705	2
715	2
725	1
735	0
745	6
755	0
765	2
775	0
785	0
795	0
805	1
815	1
825	3
835	3
845	0
855	2
865	1
875	2
885	1
895	3
905	0
915	2
925	3
935	3
945	3
955	0
965	0
975	0
985	3
995	1
1005	1
1015	1
1025	3
1035	0
1045	1
1055	0
1065	1
1075	1
1085	1
1095	4
1105	1
1115	0
1125	2
1135	6
1145	4
1155	2
1165	5
1175	3
1185	2
1195	1
1205	5
1215	3
1225	1
1235	0
1245	0
1255	2
1265	1
1275	3
1285	2
1295	1
1305	0
1315	4
1325	2
1335	1
1345	3
1355	4
1365	3
1375	1
1385	0
1395	2
1405	1
1415	3
1425	2
1435	3
1445	1
1455	0
1465	2
1475	0
1485	1
1495	3
1505	1
1515	1
1525	0
1535	2
1545	3
1555	0
1565	0
1575	3
1585	1
1595	2
1605	3
1615	1
1625	1
1635	2
1645	2
1655	1
1665	3
1675	1
1685	3
1695	1
1705	0
1715	2
1725	2
1735	1
1745	2
1755	2
1765	4
1775	2
1785	4
1795	0
1805	3
1815	2
1825	0
1835	2
1845	2
1855	0
1865	3
1875	1
1885	0
1895	1
1905	6
1915	0
1925	3
1935	2
1945	3
1955	1
1965	0
1975	2
1985	5
1995	8
