Time [seconds]	Counts
4.98509e+11	506
1.49553e+12	488
2.49254e+12	515
3.48956e+12	504
4.48658e+12	543
5.4836e+12	499
6.48061e+12	475
7.47763e+12	447
8.47465e+12	490
9.47167e+12	513
1.04687e+13	502
1.14657e+13	471
1.24627e+13	496
1.34597e+13	468
1.44568e+13	439
1.54538e+13	519
1.64508e+13	471
1.74478e+13	489
1.84448e+13	497
1.94418e+13	495
2.04389e+13	502
2.14359e+13	526
2.24329e+13	529
2.34299e+13	475
2.44269e+13	494
2.54239e+13	473
2.6421e+13	435
2.7418e+13	550
2.8415e+13	501
2.9412e+13	514
3.0409e+13	535
3.14061e+13	500
3.24031e+13	501
3.34001e+13	506
3.43971e+13	502
3.53941e+13	493
3.63911e+13	488
3.73882e+13	464
3.83852e+13	534
3.93822e+13	505
4.03792e+13	497
4.13762e+13	490
4.23732e+13	502
4.33703e+13	481
4.43673e+13	504
4.53643e+13	497
4.63613e+13	531
4.73583e+13	493
4.83553e+13	475
4.93524e+13	475
5.03494e+13	498
5.13464e+13	465
5.23434e+13	494
5.33404e+13	488
5.43375e+13	517
5.53345e+13	495
5.63315e+13	502
5.73285e+13	494
5.83255e+13	505
5.93225e+13	476
6.03196e+13	515
6.13166e+13	492
6.23136e+13	472
6.33106e+13	483
6.43076e+13	495
6.53046e+13	508
6.63017e+13	495
6.72987e+13	449
6.82957e+13	501
6.92927e+13	437
7.02897e+13	474
7.12868e+13	518
7.22838e+13	491
7.32808e+13	486
7.42778e+13	493
7.52748e+13	477
7.62718e+13	482
7.72689e+13	463
7.82659e+13	488
7.92629e+13	476
8.02599e+13	454
8.12569e+13	485
8.22539e+13	514
8.3251e+13	523
8.4248e+13	512
8.5245e+13	521
8.6242e+13	494
8.7239e+13	515
8.8236e+13	471
8.92331e+13	516
9.02301e+13	488
9.12271e+13	509
9.22241e+13	449
9.32211e+13	496
9.42182e+13	498
9.52152e+13	456
9.62122e+13	484
9.72092e+13	479
9.82062e+13	525
9.92032e+13	518
1.002e+14	519
1.01197e+14	475
1.02194e+14	458
1.03191e+14	495
1.04188e+14	496
1.05185e+14	458
1.06182e+14	482
1.07179e+14	517
1.08176e+14	528
1.09173e+14	516
1.1017e+14	486
1.11167e+14	497
1.12164e+14	479
1.13161e+14	507
1.14159e+14	479
1.15156e+14	479
1.16153e+14	496
1.1715e+14	490
1.18147e+14	496
1.19144e+14	499
1.20141e+14	463
1.21138e+14	517
1.22135e+14	488
1.23132e+14	481
1.24129e+14	522
1.25126e+14	497
1.26123e+14	485
1.2712e+14	483
1.28117e+14	507
1.29114e+14	513
1.30111e+14	501
1.31108e+14	533
1.32105e+14	475
1.33102e+14	522
1.34099e+14	523
1.35096e+14	513
1.36093e+14	508
1.3709e+14	481
1.38087e+14	507
1.39084e+14	498
1.40081e+14	464
1.41078e+14	482
1.42075e+14	485
1.43072e+14	513
1.44069e+14	514
1.45066e+14	511
1.46063e+14	535
1.4706e+14	487
1.48057e+14	457
1.49054e+14	462
1.50051e+14	462
1.51048e+14	491
1.52045e+14	480
1.53042e+14	491
1.54039e+14	490
1.55036e+14	508
1.56033e+14	511
1.5703e+14	512
1.58027e+14	488
1.59024e+14	457
1.60021e+14	455
1.61018e+14	492
1.62015e+14	541
1.63012e+14	481
1.64009e+14	475
1.65006e+14	476
1.66003e+14	540
1.67e+14	501
1.67997e+14	456
1.68994e+14	509
1.69991e+14	504
1.70988e+14	488
1.71986e+14	468
1.72983e+14	533
1.7398e+14	532
1.74977e+14	496
1.75974e+14	506
1.76971e+14	486
1.77968e+14	496
1.78965e+14	458
1.79962e+14	489
1.80959e+14	464
1.81956e+14	472
1.82953e+14	497
1.8395e+14	517
1.84947e+14	505
1.85944e+14	476
1.86941e+14	537
1.87938e+14	492
1.88935e+14	471
1.89932e+14	463
1.90929e+14	490
1.91926e+14	505
1.92923e+14	489
1.9392e+14	470
1.94917e+14	521
1.95914e+14	452
1.96911e+14	483
1.97908e+14	475
1.98905e+14	481
1.99902e+14	502
2.00899e+14	475
2.01896e+14	501
2.02893e+14	500
2.0389e+14	486
2.04887e+14	519
2.05884e+14	531
2.06881e+14	485
2.07878e+14	488
2.08875e+14	459
2.09872e+14	480
2.10869e+14	487
2.11866e+14	492
2.12863e+14	472
2.1386e+14	502
2.14857e+14	504
2.15854e+14	522
2.16851e+14	534
2.17848e+14	510
2.18845e+14	505
2.19842e+14	514
2.20839e+14	495
2.21836e+14	483
2.22833e+14	527
2.2383e+14	527
2.24827e+14	471
2.25824e+14	492
2.26821e+14	453
2.27818e+14	490
2.28816e+14	501
2.29813e+14	534
2.3081e+14	493
2.31807e+14	486
2.32804e+14	456
2.33801e+14	519
2.34798e+14	520
2.35795e+14	508
2.36792e+14	537
2.37789e+14	517
2.38786e+14	468
2.39783e+14	523
2.4078e+14	472
2.41777e+14	469
2.42774e+14	528
2.43771e+14	479
2.44768e+14	470
2.45765e+14	528
2.46762e+14	473
2.47759e+14	483
2.48756e+14	463
2.49753e+14	491
2.5075e+14	486
2.51747e+14	533
2.52744e+14	505
2.53741e+14	456
2.54738e+14	514
2.55735e+14	499
2.56732e+14	553
2.57729e+14	462
2.58726e+14	458
2.59723e+14	432
2.6072e+14	492
2.61717e+14	511
2.62714e+14	468
2.63711e+14	496
2.64708e+14	454
2.65705e+14	508
2.66702e+14	482
2.67699e+14	499
2.68696e+14	482
2.69693e+14	483
2.7069e+14	472
2.71687e+14	512
2.72684e+14	532
2.73681e+14	506
2.74678e+14	471
2.75675e+14	479
2.76672e+14	500
2.77669e+14	481
2.78666e+14	487
2.79663e+14	481
2.8066e+14	488
2.81657e+14	554
2.82654e+14	497
2.83651e+14	494
2.84648e+14	478
2.85645e+14	476
2.86643e+14	506
2.8764e+14	446
2.88637e+14	494
2.89634e+14	532
2.90631e+14	486
2.91628e+14	451
2.92625e+14	531
2.93622e+14	518
2.94619e+14	461
2.95616e+14	525
2.96613e+14	500
2.9761e+14	511
2.98607e+14	486
2.99604e+14	482
