Time [seconds]	Counts
4.98508e+11	198
1.49553e+12	161
2.49254e+12	194
3.48956e+12	192
4.48658e+12	209
5.48359e+12	195
6.48061e+12	173
7.47763e+12	170
8.47464e+12	183
9.47166e+12	175
1.04687e+13	196
1.14657e+13	202
1.24627e+13	193
1.34597e+13	177
1.44567e+13	190
1.54538e+13	173
1.64508e+13	183
1.74478e+13	179
1.84448e+13	194
1.94418e+13	183
2.04388e+13	181
2.14359e+13	198
2.24329e+13	179
2.34299e+13	175
2.44269e+13	193
2.54239e+13	162
2.64209e+13	163
2.7418e+13	158
2.8415e+13	191
2.9412e+13	176
3.0409e+13	174
3.1406e+13	210
3.2403e+13	199
3.34001e+13	196
3.43971e+13	182
3.53941e+13	193
3.63911e+13	170
3.73881e+13	186
3.83852e+13	190
3.93822e+13	177
4.03792e+13	189
4.13762e+13	165
4.23732e+13	188
4.33702e+13	165
4.43673e+13	183
4.53643e+13	169
4.63613e+13	185
4.73583e+13	159
4.83553e+13	173
4.93523e+13	196
5.03494e+13	204
5.13464e+13	197
5.23434e+13	195
5.33404e+13	180
5.43374e+13	198
5.53344e+13	193
5.63315e+13	164
5.73285e+13	154
5.83255e+13	188
5.93225e+13	193
6.03195e+13	191
6.13165e+13	167
6.23136e+13	170
6.33106e+13	200
6.43076e+13	180
6.53046e+13	179
6.63016e+13	180
6.72986e+13	198
6.82957e+13	164
6.92927e+13	187
7.02897e+13	178
7.12867e+13	178
7.22837e+13	177
7.32807e+13	175
7.42778e+13	186
7.52748e+13	174
7.62718e+13	179
7.72688e+13	195
7.82658e+13	205
7.92628e+13	194
8.02599e+13	184
8.12569e+13	175
8.22539e+13	176
8.32509e+13	174
8.42479e+13	158
8.5245e+13	189
8.6242e+13	193
8.7239e+13	168
8.8236e+13	179
8.9233e+13	187
9.023e+13	170
9.12271e+13	208
9.22241e+13	165
9.32211e+13	192
9.42181e+13	201
9.52151e+13	182
9.62121e+13	179
9.72092e+13	160
9.82062e+13	183
9.92032e+13	187
1.002e+14	201
1.01197e+14	185
1.02194e+14	177
1.03191e+14	205
1.04188e+14	186
1.05185e+14	182
1.06182e+14	191
1.07179e+14	196
1.08176e+14	159
1.09173e+14	178
1.1017e+14	188
1.11167e+14	183
1.12164e+14	170
1.13161e+14	189
1.14158e+14	187
1.15155e+14	179
1.16152e+14	172
1.17149e+14	175
1.18147e+14	203
1.19144e+14	184
1.20141e+14	200
1.21138e+14	202
1.22135e+14	187
1.23132e+14	196
1.24129e+14	192
1.25126e+14	168
1.26123e+14	184
1.2712e+14	170
1.28117e+14	179
1.29114e+14	201
1.30111e+14	206
1.31108e+14	202
1.32105e+14	175
1.33102e+14	195
1.34099e+14	192
1.35096e+14	192
1.36093e+14	204
1.3709e+14	172
1.38087e+14	166
1.39084e+14	192
1.40081e+14	192
1.41078e+14	182
1.42075e+14	173
1.43072e+14	188
1.44069e+14	181
1.45066e+14	175
1.46063e+14	170
1.4706e+14	184
1.48057e+14	185
1.49054e+14	196
1.50051e+14	178
1.51048e+14	179
1.52045e+14	210
1.53042e+14	154
1.54039e+14	180
1.55036e+14	182
1.56033e+14	187
1.5703e+14	194
1.58027e+14	197
1.59024e+14	204
1.60021e+14	160
1.61018e+14	169
1.62015e+14	170
1.63012e+14	161
1.64009e+14	168
1.65006e+14	231
1.66003e+14	186
1.67e+14	182
1.67997e+14	185
1.68994e+14	172
1.69991e+14	165
1.70988e+14	188
1.71985e+14	177
1.72982e+14	174
1.73979e+14	182
1.74976e+14	185
1.75973e+14	188
1.76971e+14	199
1.77968e+14	214
1.78965e+14	182
1.79962e+14	184
1.80959e+14	175
1.81956e+14	172
1.82953e+14	161
1.8395e+14	181
1.84947e+14	156
1.85944e+14	175
1.86941e+14	171
1.87938e+14	190
1.88935e+14	178
1.89932e+14	177
1.90929e+14	191
1.91926e+14	206
1.92923e+14	207
1.9392e+14	212
1.94917e+14	175
1.95914e+14	186
1.96911e+14	191
1.97908e+14	170
1.98905e+14	203
1.99902e+14	177
2.00899e+14	180
2.01896e+14	193
2.02893e+14	203
2.0389e+14	173
2.04887e+14	189
2.05884e+14	177
2.06881e+14	162
2.07878e+14	184
2.08875e+14	187
2.09872e+14	179
2.10869e+14	194
2.11866e+14	187
2.12863e+14	194
2.1386e+14	196
2.14857e+14	202
2.15854e+14	188
2.16851e+14	186
2.17848e+14	180
2.18845e+14	186
2.19842e+14	170
2.20839e+14	195
2.21836e+14	205
2.22833e+14	187
2.2383e+14	189
2.24827e+14	189
2.25824e+14	178
2.26821e+14	188
2.27818e+14	171
2.28815e+14	196
2.29812e+14	189
2.30809e+14	158
2.31806e+14	180
2.32803e+14	179
2.338e+14	175
2.34797e+14	207
2.35794e+14	176
2.36792e+14	181
2.37789e+14	201
2.38786e+14	199
2.39783e+14	181
2.4078e+14	179
2.41777e+14	168
2.42774e+14	169
2.43771e+14	181
2.44768e+14	193
2.45765e+14	197
2.46762e+14	189
2.47759e+14	198
2.48756e+14	170
2.49753e+14	188
2.5075e+14	173
2.51747e+14	193
2.52744e+14	180
2.53741e+14	183
2.54738e+14	170
2.55735e+14	181
2.56732e+14	189
2.57729e+14	173
2.58726e+14	178
2.59723e+14	180
2.6072e+14	185
2.61717e+14	169
2.62714e+14	166
2.63711e+14	173
2.64708e+14	210
2.65705e+14	180
2.66702e+14	197
2.67699e+14	206
2.68696e+14	176
2.69693e+14	195
2.7069e+14	160
2.71687e+14	190
2.72684e+14	182
2.73681e+14	196
2.74678e+14	182
2.75675e+14	175
2.76672e+14	178
2.77669e+14	184
2.78666e+14	157
2.79663e+14	179
2.8066e+14	173
2.81657e+14	192
2.82654e+14	176
2.83651e+14	177
2.84648e+14	178
2.85645e+14	190
2.86642e+14	219
2.87639e+14	192
2.88636e+14	176
2.89633e+14	184
2.9063e+14	190
2.91627e+14	191
2.92624e+14	199
2.93621e+14	177
2.94619e+14	193
2.95616e+14	186
2.96613e+14	179
2.9761e+14	187
2.98607e+14	181
2.99604e+14	176
