Time [ns]	Counts
-1995	12
-1985	16
-1975	18
-1965	15
-1955	18
-1945	24
-1935	20
-1925	11
-1915	14
-1905	11
-1895	19
-1885	15
-1875	25
-1865	13
-1855	18
-1845	23
-1835	21
-1825	15
-1815	21
-1805	8
-1795	23
-1785	14
-1775	15
-1765	20
-1755	18
-1745	16
-1735	22
-1725	14
-1715	12
-1705	15
-1695	23
-1685	12
-1675	15
-1665	19
-1655	20
-1645	13
-1635	13
-1625	16
-1615	21
-1605	14
-1595	20
-1585	12
-1575	26
-1565	20
-1555	19
-1545	24
-1535	13
-1525	20
-1515	16
-1505	10
-1495	19
-1485	17
-1475	17
-1465	11
-1455	23
-1445	17
-1435	16
-1425	23
-1415	23
-1405	18
-1395	11
-1385	13
-1375	11
-1365	23
-1355	10
-1345	13
-1335	11
-1325	19
-1315	16
-1305	16
-1295	22
-1285	18
-1275	14
-1265	12
-1255	11
-1245	18
-1235	12
-1225	17
-1215	13
-1205	23
-1195	13
-1185	20
-1175	14
-1165	19
-1155	19
-1145	26
-1135	20
-1125	18
-1115	11
-1105	11
-1095	21
-1085	22
-1075	16
-1065	21
-1055	14
-1045	18
-1035	13
-1025	20
-1015	14
-1005	10
-995	17
-985	19
-975	13
-965	18
-955	10
-945	22
-935	13
-925	15
-915	14
-905	21
-895	17
-885	17
-875	17
-865	14
-855	13
-845	16
-835	15
-825	17
-815	10
-805	15
-795	12
-785	19
-775	21
-765	23
-755	13
-745	15
-735	16
-725	22
-715	12
-705	18
-695	14
-685	21
-675	21
-665	16
-655	21
-645	20
-635	14
-625	14
-615	29
-605	19
-595	14
-585	19
-575	12
-565	15
-555	11
-545	18
-535	13
-525	11
-515	18
-505	19
-495	18
-485	14
-475	14
-465	14
-455	13
-445	18
-435	16
-425	20
-415	17
-405	22
-395	13
-385	19
-375	21
-365	16
-355	14
-345	13
-335	17
-325	23
-315	14
-305	13
-295	22
-285	17
-275	20
-265	13
-255	21
-245	15
-235	19
-225	13
-215	11
-205	16
-195	12
-185	16
-175	9
-165	19
-155	21
-145	19
-135	22
-125	16
-115	19
-105	10
-95	18
-85	16
-75	13
-65	14
-55	15
-45	12
-35	19
-25	34
-15	6180
-5	4904
5	34
15	23
25	12
35	13
45	18
55	16
65	12
75	18
85	18
95	18
105	13
115	13
125	17
135	12
145	14
155	22
165	14
175	14
185	20
195	25
205	19
215	12
225	26
235	16
245	16
255	11
265	17
275	20
285	8
295	15
305	17
315	10
325	13
335	16
345	19
355	22
365	12
375	23
385	24
395	19
405	13
415	14
425	13
435	17
445	16
455	24
465	12
475	9
485	16
495	14
505	20
515	21
525	16
535	15
545	24
555	20
565	15
575	11
585	19
595	21
605	16
615	11
625	15
635	14
645	16
655	21
665	18
675	18
685	20
695	16
705	14
715	14
725	11
735	11
745	28
755	17
765	15
775	21
785	17
795	17
805	11
815	10
825	20
835	20
845	18
855	18
865	21
875	19
885	26
895	18
905	15
915	17
925	16
935	13
945	10
955	13
965	21
975	12
985	18
995	13
1005	16
1015	12
1025	18
1035	21
1045	13
1055	20
1065	15
1075	23
1085	16
1095	22
1105	20
1115	17
1125	18
1135	15
1145	14
1155	15
1165	25
1175	15
1185	19
1195	13
1205	22
1215	25
1225	24
1235	23
1245	19
1255	24
1265	12
1275	10
1285	15
1295	17
1305	13
1315	14
1325	16
1335	12
1345	14
1355	22
1365	13
1375	14
1385	8
1395	14
1405	19
1415	15
1425	11
1435	19
1445	20
1455	14
1465	19
1475	25
1485	20
1495	18
1505	15
1515	11
1525	19
1535	16
1545	20
1555	10
1565	13
1575	21
1585	26
1595	22
1605	17
1615	22
1625	18
1635	14
1645	14
1655	13
1665	15
1675	16
1685	23
1695	18
1705	15
1715	19
1725	19
1735	21
1745	10
1755	22
1765	8
1775	16
1785	19
1795	14
1805	10
1815	12
1825	16
1835	15
1845	20
1855	13
1865	21
1875	10
1885	11
1895	12
1905	12
1915	14
1925	13
1935	13
1945	11
1955	23
1965	18
1975	17
1985	21
1995	25
