Channel	Counts
0.499969	219
1.49991	1
2.49985	0
3.49979	2
4.49973	3
5.49966	1
6.4996	1
7.49954	1
8.49948	3
9.49942	2
10.4994	2
11.4993	4
12.4992	1
13.4992	0
14.4991	3
15.4991	1
16.499	2
17.4989	1
18.4989	0
19.4988	2
20.4987	3
21.4987	3
22.4986	3
23.4986	2
24.4985	5
25.4984	1
26.4984	6
27.4983	3
28.4983	4
29.4982	0
30.4981	1
31.4981	1
32.498	1
33.498	1
34.4979	1
35.4978	0
36.4978	0
37.4977	1
38.4977	2
39.4976	6
40.4975	2
41.4975	2
42.4974	2
43.4973	0
44.4973	2
45.4972	4
46.4972	0
47.4971	2
48.497	1
49.497	1
50.4969	1
51.4969	4
52.4968	4
53.4967	0
54.4967	1
55.4966	1
56.4966	5
57.4965	0
58.4964	4
59.4964	4
60.4963	5
61.4962	3
62.4962	1
63.4961	2
64.4961	1
65.496	4
66.4959	2
67.4959	2
68.4958	7
69.4958	3
70.4957	2
71.4956	4
72.4956	3
73.4955	1
74.4955	3
75.4954	2
76.4953	7
77.4953	4
78.4952	1
79.4951	3
80.4951	1
81.495	4
82.495	4
83.4949	4
84.4948	2
85.4948	3
86.4947	5
87.4947	3
88.4946	6
89.4945	1
90.4945	3
91.4944	2
92.4944	2
93.4943	8
94.4942	4
95.4942	2
96.4941	8
97.494	6
98.494	5
99.4939	6
100.494	1
101.494	3
102.494	7
103.494	3
104.494	8
105.494	5
106.493	3
107.493	2
108.493	5
109.493	3
110.493	3
111.493	4
112.493	7
113.493	5
114.493	3
115.493	2
116.493	7
117.493	5
118.493	8
119.493	6
120.493	11
121.493	3
122.493	7
123.492	7
124.492	2
125.492	5
126.492	12
127.492	10
128.492	11
129.492	9
130.492	10
131.492	5
132.492	9
133.492	10
134.492	10
135.492	12
136.492	17
137.492	7
138.492	16
139.491	14
140.491	27
141.491	18
142.491	14
143.491	16
144.491	27
145.491	39
146.491	31
147.491	25
148.491	31
149.491	30
150.491	39
151.491	34
152.491	35
153.491	37
154.491	56
155.491	39
156.49	48
157.49	42
158.49	60
159.49	50
160.49	77
161.49	59
162.49	66
163.49	73
164.49	53
165.49	76
166.49	66
167.49	89
168.49	87
169.49	80
170.49	89
171.49	82
172.489	90
173.489	100
174.489	115
175.489	102
176.489	99
177.489	83
178.489	113
179.489	108
180.489	110
181.489	125
182.489	148
183.489	105
184.489	124
185.489	119
186.489	115
187.489	113
188.488	110
189.488	120
190.488	137
191.488	145
192.488	134
193.488	134
194.488	139
195.488	110
196.488	156
197.488	132
198.488	151
199.488	150
200.488	147
201.488	146
202.488	141
203.488	141
204.488	118
205.487	177
206.487	130
207.487	157
208.487	144
209.487	139
210.487	149
211.487	142
212.487	163
213.487	167
214.487	180
215.487	132
216.487	158
217.487	147
218.487	153
219.487	154
220.487	145
221.486	171
222.486	165
223.486	159
224.486	161
225.486	180
226.486	160
227.486	164
228.486	150
229.486	145
230.486	180
231.486	139
232.486	163
233.486	141
234.486	150
235.486	184
236.486	160
237.486	160
238.485	159
239.485	174
240.485	157
241.485	171
242.485	161
243.485	138
244.485	168
245.485	160
246.485	146
247.485	132
248.485	183
249.485	136
250.485	168
251.485	164
252.485	156
253.485	173
254.484	176
255.484	170
256.484	145
257.484	175
258.484	165
259.484	154
260.484	140
261.484	150
262.484	161
263.484	171
264.484	178
265.484	164
266.484	172
267.484	164
268.484	172
269.484	196
270.483	186
271.483	181
272.483	173
273.483	166
274.483	189
275.483	172
276.483	180
277.483	159
278.483	157
279.483	190
280.483	167
281.483	159
282.483	166
283.483	177
284.483	174
285.483	187
286.483	183
287.482	173
288.482	195
289.482	184
290.482	162
291.482	181
292.482	196
293.482	174
294.482	164
295.482	175
296.482	192
297.482	185
298.482	184
299.482	196
300.482	198
301.482	176
302.482	169
303.481	185
304.481	182
305.481	165
306.481	189
307.481	191
308.481	177
309.481	189
310.481	189
311.481	178
312.481	187
313.481	175
314.481	180
315.481	212
316.481	168
317.481	199
318.481	171
319.48	161
320.48	185
321.48	197
322.48	192
323.48	163
324.48	181
325.48	187
326.48	175
327.48	200
328.48	185
329.48	199
330.48	206
331.48	183
332.48	190
333.48	176
334.48	221
335.48	203
336.479	208
337.479	204
338.479	191
339.479	177
340.479	176
341.479	215
342.479	190
343.479	190
344.479	210
345.479	189
346.479	200
347.479	208
348.479	210
349.479	209
350.479	189
351.479	207
352.478	201
353.478	189
354.478	198
355.478	196
356.478	199
357.478	184
358.478	211
359.478	219
360.478	201
361.478	180
362.478	201
363.478	202
364.478	193
365.478	206
366.478	202
367.478	200
368.478	220
369.477	230
370.477	207
371.477	210
372.477	222
373.477	202
374.477	196
375.477	197
376.477	229
377.477	222
378.477	213
379.477	240
380.477	211
381.477	214
382.477	204
383.477	205
384.477	201
385.476	202
386.476	222
387.476	210
388.476	216
389.476	222
390.476	214
391.476	202
392.476	201
393.476	215
394.476	207
395.476	212
396.476	226
397.476	240
398.476	225
399.476	207
400.476	215
401.475	194
402.475	230
403.475	215
404.475	235
405.475	234
406.475	235
407.475	222
408.475	198
409.475	248
410.475	219
411.475	195
412.475	246
413.475	223
414.475	249
415.475	237
416.475	255
417.475	241
418.474	180
419.474	221
420.474	227
421.474	211
422.474	233
423.474	220
424.474	217
425.474	247
426.474	222
427.474	258
428.474	216
429.474	204
430.474	220
431.474	262
432.474	231
433.474	227
434.473	227
435.473	238
436.473	257
437.473	231
438.473	234
439.473	261
440.473	225
441.473	233
442.473	251
443.473	235
444.473	219
445.473	234
446.473	234
447.473	239
448.473	246
449.473	221
450.473	230
451.472	222
452.472	247
453.472	228
454.472	240
455.472	240
456.472	253
457.472	231
458.472	237
459.472	235
460.472	228
461.472	210
462.472	229
463.472	215
464.472	241
465.472	211
466.472	233
467.471	246
468.471	243
469.471	248
470.471	224
471.471	255
472.471	248
473.471	236
474.471	239
475.471	279
476.471	280
477.471	249
478.471	264
479.471	255
480.471	248
481.471	268
482.471	234
483.47	236
484.47	267
485.47	225
486.47	245
487.47	231
488.47	242
489.47	236
490.47	252
491.47	275
492.47	245
493.47	236
494.47	219
495.47	251
496.47	208
497.47	261
498.47	235
499.47	227
500.469	264
