Time [seconds]	Counts
4.98557e+11	1853
1.49567e+12	1818
2.49278e+12	1903
3.4899e+12	1922
4.48701e+12	1884
5.48412e+12	1876
6.48123e+12	1852
7.47835e+12	1950
8.47546e+12	1899
9.47257e+12	1925
1.04697e+13	1846
1.14668e+13	1897
1.24639e+13	1870
1.3461e+13	1922
1.44581e+13	1885
1.54553e+13	1886
1.64524e+13	1914
1.74495e+13	1881
1.84466e+13	1849
1.94437e+13	1928
2.04408e+13	1930
2.14379e+13	1892
2.2435e+13	1951
2.34322e+13	1985
2.44293e+13	1920
2.54264e+13	1896
2.64235e+13	1858
2.74206e+13	1847
2.84177e+13	1931
2.94148e+13	1895
3.04119e+13	1938
3.14091e+13	1853
3.24062e+13	1865
3.34033e+13	1827
3.44004e+13	1863
3.53975e+13	1997
3.63946e+13	1921
3.73917e+13	1886
3.83889e+13	1898
3.9386e+13	1910
4.03831e+13	1909
4.13802e+13	1910
4.23773e+13	1891
4.33744e+13	1887
4.43715e+13	1963
4.53686e+13	1860
4.63658e+13	1929
4.73629e+13	1941
4.836e+13	1944
4.93571e+13	1882
5.03542e+13	1845
5.13513e+13	1917
5.23484e+13	1887
5.33455e+13	1920
5.43427e+13	1936
5.53398e+13	1870
5.63369e+13	1862
5.7334e+13	1899
5.83311e+13	1941
5.93282e+13	1874
6.03253e+13	1966
6.13225e+13	1842
6.23196e+13	1927
6.33167e+13	1885
6.43138e+13	1889
6.53109e+13	1901
6.6308e+13	1901
6.73051e+13	1815
6.83022e+13	1853
6.92994e+13	1884
7.02965e+13	1878
7.12936e+13	1918
7.22907e+13	1952
7.32878e+13	1940
7.42849e+13	1938
7.5282e+13	1938
7.62791e+13	1907
7.72763e+13	1938
7.82734e+13	1858
7.92705e+13	1920
8.02676e+13	1861
8.12647e+13	1934
8.22618e+13	1871
8.32589e+13	1860
8.42561e+13	1939
8.52532e+13	1878
8.62503e+13	1862
8.72474e+13	1927
8.82445e+13	1881
8.92416e+13	1947
9.02387e+13	1927
9.12358e+13	1831
9.2233e+13	1888
9.32301e+13	1848
9.42272e+13	1873
9.52243e+13	1836
9.62214e+13	1864
9.72185e+13	1934
9.82156e+13	1894
9.92127e+13	1871
1.0021e+14	1919
1.01207e+14	1870
1.02204e+14	1906
1.03201e+14	1893
1.04198e+14	1831
1.05195e+14	1898
1.06193e+14	1953
1.0719e+14	1919
1.08187e+14	1897
1.09184e+14	1805
1.10181e+14	1882
1.11178e+14	1985
1.12175e+14	1822
1.13172e+14	1965
1.14169e+14	1912
1.15167e+14	1874
1.16164e+14	1947
1.17161e+14	1922
1.18158e+14	1963
1.19155e+14	1837
1.20152e+14	1944
1.21149e+14	1883
1.22146e+14	1845
1.23143e+14	1897
1.24141e+14	1922
1.25138e+14	1924
1.26135e+14	1912
1.27132e+14	1833
1.28129e+14	1882
1.29126e+14	1977
1.30123e+14	1890
1.3112e+14	1915
1.32117e+14	1902
1.33115e+14	1896
1.34112e+14	1902
1.35109e+14	1991
1.36106e+14	1896
1.37103e+14	1867
1.381e+14	1900
1.39097e+14	1915
1.40094e+14	1887
1.41092e+14	1838
1.42089e+14	1826
1.43086e+14	1856
1.44083e+14	1938
1.4508e+14	1955
1.46077e+14	1898
1.47074e+14	1914
1.48071e+14	1923
1.49068e+14	1889
1.50066e+14	1892
1.51063e+14	1847
1.5206e+14	1921
1.53057e+14	1897
1.54054e+14	1913
1.55051e+14	1895
1.56048e+14	1844
1.57045e+14	1940
1.58042e+14	1885
1.5904e+14	1879
1.60037e+14	1953
1.61034e+14	1755
1.62031e+14	1907
1.63028e+14	1879
1.64025e+14	1845
1.65022e+14	1883
1.66019e+14	1918
1.67016e+14	1848
1.68014e+14	1916
1.69011e+14	1898
1.70008e+14	1832
1.71005e+14	1954
1.72002e+14	1887
1.72999e+14	1940
1.73996e+14	1829
1.74993e+14	1903
1.7599e+14	1858
1.76988e+14	1907
1.77985e+14	1920
1.78982e+14	1822
1.79979e+14	1940
1.80976e+14	1935
1.81973e+14	1924
1.8297e+14	1869
1.83967e+14	1928
1.84964e+14	1885
1.85962e+14	1869
1.86959e+14	1904
1.87956e+14	1856
1.88953e+14	1837
1.8995e+14	1839
1.90947e+14	1908
1.91944e+14	1879
1.92941e+14	1910
1.93938e+14	1897
1.94936e+14	1843
1.95933e+14	2033
1.9693e+14	1895
1.97927e+14	1852
1.98924e+14	1842
1.99921e+14	1927
2.00918e+14	1832
2.01915e+14	1859
2.02913e+14	1907
2.0391e+14	1871
2.04907e+14	1975
2.05904e+14	1854
2.06901e+14	1837
2.07898e+14	1881
2.08895e+14	1896
2.09892e+14	1871
2.10889e+14	1841
2.11887e+14	1872
2.12884e+14	1891
2.13881e+14	1891
2.14878e+14	1877
2.15875e+14	1912
2.16872e+14	1917
2.17869e+14	1960
2.18866e+14	1862
2.19863e+14	1913
2.20861e+14	1914
2.21858e+14	1860
2.22855e+14	1907
2.23852e+14	1891
2.24849e+14	1941
2.25846e+14	1862
2.26843e+14	1837
2.2784e+14	1957
2.28837e+14	1970
2.29835e+14	1849
2.30832e+14	1914
2.31829e+14	1893
2.32826e+14	1904
2.33823e+14	1873
2.3482e+14	1873
2.35817e+14	1849
2.36814e+14	1907
2.37811e+14	1976
2.38809e+14	1903
2.39806e+14	1918
2.40803e+14	1923
2.418e+14	1873
2.42797e+14	1909
2.43794e+14	1875
2.44791e+14	1884
2.45788e+14	1858
2.46785e+14	1909
2.47783e+14	1831
2.4878e+14	1927
2.49777e+14	1914
2.50774e+14	1911
2.51771e+14	1893
2.52768e+14	1894
2.53765e+14	1871
2.54762e+14	1878
2.55759e+14	1902
2.56757e+14	1873
2.57754e+14	1874
2.58751e+14	1870
2.59748e+14	1897
2.60745e+14	1950
2.61742e+14	1879
2.62739e+14	1879
2.63736e+14	1916
2.64734e+14	1914
2.65731e+14	1985
2.66728e+14	1919
2.67725e+14	1840
2.68722e+14	1978
2.69719e+14	1842
2.70716e+14	1881
2.71713e+14	1853
2.7271e+14	1917
2.73708e+14	1934
2.74705e+14	1914
2.75702e+14	1850
2.76699e+14	1939
2.77696e+14	1804
2.78693e+14	1895
2.7969e+14	1955
2.80687e+14	1863
2.81684e+14	1889
2.82682e+14	1918
2.83679e+14	1851
2.84676e+14	1838
2.85673e+14	1803
2.8667e+14	1967
2.87667e+14	1919
2.88664e+14	1871
2.89661e+14	1926
2.90658e+14	1919
2.91656e+14	1976
2.92653e+14	1896
2.9365e+14	1852
2.94647e+14	1961
2.95644e+14	1819
2.96641e+14	1896
2.97638e+14	1929
2.98635e+14	1850
2.99632e+14	1797
