Channel	Counts
0.499969	19
1.49991	0
2.49985	0
3.49979	0
4.49973	0
5.49966	0
6.4996	0
7.49954	0
8.49948	0
9.49942	0
10.4994	0
11.4993	0
12.4992	0
13.4992	0
14.4991	0
15.4991	0
16.499	0
17.4989	0
18.4989	0
19.4988	0
20.4987	0
21.4987	0
22.4986	0
23.4986	1
24.4985	0
25.4984	0
26.4984	0
27.4983	0
28.4983	0
29.4982	0
30.4981	0
31.4981	0
32.498	0
33.498	0
34.4979	0
35.4978	0
36.4978	0
37.4977	0
38.4977	0
39.4976	0
40.4975	0
41.4975	0
42.4974	0
43.4973	0
44.4973	0
45.4972	0
46.4972	0
47.4971	0
48.497	0
49.497	0
50.4969	0
51.4969	0
52.4968	0
53.4967	0
54.4967	0
55.4966	0
56.4966	0
57.4965	0
58.4964	0
59.4964	0
60.4963	0
61.4962	0
62.4962	0
63.4961	0
64.4961	0
65.496	0
66.4959	0
67.4959	0
68.4958	0
69.4958	0
70.4957	0
71.4956	0
72.4956	0
73.4955	0
74.4955	0
75.4954	0
76.4953	0
77.4953	0
78.4952	0
79.4951	0
80.4951	0
81.495	0
82.495	1
83.4949	0
84.4948	0
85.4948	0
86.4947	0
87.4947	0
88.4946	0
89.4945	0
90.4945	0
91.4944	0
92.4944	0
93.4943	0
94.4942	0
95.4942	0
96.4941	0
97.494	0
98.494	1
99.4939	0
100.494	0
101.494	0
102.494	0
103.494	0
104.494	0
105.494	0
106.493	0
107.493	0
108.493	0
109.493	0
110.493	1
111.493	1
112.493	0
113.493	0
114.493	0
115.493	0
116.493	0
117.493	0
118.493	0
119.493	0
120.493	0
121.493	0
122.493	0
123.492	0
124.492	0
125.492	0
126.492	0
127.492	1
128.492	0
129.492	0
130.492	0
131.492	1
132.492	0
133.492	1
134.492	0
135.492	1
136.492	1
137.492	0
138.492	1
139.491	3
140.491	3
141.491	4
142.491	3
143.491	1
144.491	1
145.491	2
146.491	1
147.491	2
148.491	1
149.491	2
150.491	1
151.491	5
152.491	6
153.491	2
154.491	0
155.491	4
156.49	5
157.49	2
158.49	4
159.49	3
160.49	8
161.49	4
