Time [seconds]	Counts
4.98497e+11	192
1.49549e+12	163
2.49248e+12	197
3.48948e+12	201
4.48647e+12	190
5.48346e+12	189
6.48046e+12	194
7.47745e+12	192
8.47444e+12	199
9.47144e+12	174
1.04684e+13	179
1.14654e+13	194
1.24624e+13	186
1.34594e+13	172
1.44564e+13	190
1.54534e+13	175
1.64504e+13	181
1.74474e+13	169
1.84444e+13	182
1.94414e+13	189
2.04384e+13	189
2.14354e+13	197
2.24323e+13	183
2.34293e+13	180
2.44263e+13	181
2.54233e+13	194
2.64203e+13	165
2.74173e+13	208
2.84143e+13	156
2.94113e+13	178
3.04083e+13	195
3.14053e+13	200
3.24023e+13	168
3.33993e+13	185
3.43963e+13	201
3.53933e+13	185
3.63903e+13	171
3.73872e+13	185
3.83842e+13	181
3.93812e+13	181
4.03782e+13	188
4.13752e+13	168
4.23722e+13	195
4.33692e+13	177
4.43662e+13	184
4.53632e+13	172
4.63602e+13	189
4.73572e+13	200
4.83542e+13	173
4.93512e+13	179
5.03482e+13	218
5.13452e+13	172
5.23421e+13	183
5.33391e+13	171
5.43361e+13	207
5.53331e+13	201
5.63301e+13	183
5.73271e+13	191
5.83241e+13	193
5.93211e+13	188
6.03181e+13	172
6.13151e+13	177
6.23121e+13	199
6.33091e+13	196
6.43061e+13	212
6.53031e+13	198
6.63001e+13	205
6.7297e+13	196
6.8294e+13	201
6.9291e+13	187
7.0288e+13	191
7.1285e+13	187
7.2282e+13	219
7.3279e+13	183
7.4276e+13	182
7.5273e+13	192
7.627e+13	201
7.7267e+13	182
7.8264e+13	195
7.9261e+13	179
8.0258e+13	197
8.1255e+13	196
8.22519e+13	199
8.32489e+13	188
8.42459e+13	219
8.52429e+13	184
8.62399e+13	196
8.72369e+13	177
8.82339e+13	186
8.92309e+13	205
9.02279e+13	199
9.12249e+13	188
9.22219e+13	186
9.32189e+13	187
9.42159e+13	185
9.52129e+13	191
9.62099e+13	163
9.72068e+13	192
9.82038e+13	192
9.92008e+13	164
1.00198e+14	173
1.01195e+14	187
1.02192e+14	182
1.03189e+14	172
1.04186e+14	197
1.05183e+14	183
1.0618e+14	190
1.07177e+14	161
1.08174e+14	182
1.09171e+14	157
1.10168e+14	172
1.11165e+14	220
1.12162e+14	171
1.13159e+14	200
1.14156e+14	219
1.15153e+14	178
1.1615e+14	179
1.17147e+14	189
1.18144e+14	193
1.19141e+14	193
1.20138e+14	175
1.21135e+14	186
1.22132e+14	199
1.23129e+14	195
1.24126e+14	181
1.25123e+14	200
1.2612e+14	162
1.27117e+14	209
1.28114e+14	158
1.29111e+14	184
1.30108e+14	200
1.31105e+14	205
1.32102e+14	150
1.33099e+14	192
1.34096e+14	173
1.35093e+14	174
1.3609e+14	179
1.37087e+14	188
1.38084e+14	189
1.39081e+14	157
1.40078e+14	193
1.41075e+14	200
1.42072e+14	187
1.43069e+14	162
1.44066e+14	187
1.45063e+14	187
1.4606e+14	171
1.47057e+14	173
1.48053e+14	189
1.4905e+14	176
1.50047e+14	193
1.51044e+14	179
1.52041e+14	186
1.53038e+14	186
1.54035e+14	169
1.55032e+14	194
1.56029e+14	183
1.57026e+14	176
1.58023e+14	209
1.5902e+14	177
1.60017e+14	173
1.61014e+14	216
1.62011e+14	191
1.63008e+14	189
1.64005e+14	187
1.65002e+14	175
1.65999e+14	207
1.66996e+14	186
1.67993e+14	178
1.6899e+14	199
1.69987e+14	203
1.70984e+14	175
1.71981e+14	169
1.72978e+14	193
1.73975e+14	181
1.74972e+14	207
1.75969e+14	174
1.76966e+14	139
1.77963e+14	181
1.7896e+14	180
1.79957e+14	173
1.80954e+14	173
1.81951e+14	168
1.82948e+14	184
1.83945e+14	178
1.84942e+14	176
1.85939e+14	195
1.86936e+14	173
1.87933e+14	173
1.8893e+14	187
1.89927e+14	159
1.90924e+14	212
1.91921e+14	176
1.92918e+14	182
1.93915e+14	193
1.94912e+14	212
1.95909e+14	170
1.96906e+14	174
1.97903e+14	180
1.989e+14	193
1.99897e+14	202
2.00894e+14	179
2.01891e+14	206
2.02888e+14	170
2.03885e+14	173
2.04882e+14	173
2.05879e+14	183
2.06876e+14	192
2.07873e+14	201
2.0887e+14	218
2.09867e+14	182
2.10864e+14	186
2.11861e+14	180
2.12858e+14	176
2.13855e+14	182
2.14852e+14	216
2.15849e+14	191
2.16846e+14	197
2.17843e+14	186
2.1884e+14	198
2.19837e+14	199
2.20834e+14	186
2.21831e+14	193
2.22828e+14	177
2.23825e+14	163
2.24822e+14	197
2.25819e+14	172
2.26816e+14	174
2.27813e+14	192
2.2881e+14	190
2.29807e+14	193
2.30804e+14	217
2.31801e+14	175
2.32798e+14	199
2.33795e+14	172
2.34792e+14	190
2.35789e+14	197
2.36786e+14	195
2.37783e+14	180
2.3878e+14	212
2.39777e+14	188
2.40774e+14	191
2.41771e+14	170
2.42768e+14	202
2.43765e+14	167
2.44762e+14	168
2.45759e+14	160
2.46756e+14	189
2.47753e+14	197
2.4875e+14	197
2.49747e+14	175
2.50744e+14	201
2.51741e+14	178
2.52738e+14	206
2.53735e+14	175
2.54732e+14	186
2.55729e+14	174
2.56726e+14	214
2.57723e+14	199
2.5872e+14	199
2.59717e+14	184
2.60714e+14	156
2.61711e+14	193
2.62708e+14	178
2.63705e+14	179
2.64702e+14	186
2.65699e+14	177
2.66696e+14	182
2.67693e+14	185
2.6869e+14	184
2.69687e+14	187
2.70684e+14	180
2.71681e+14	199
2.72678e+14	185
