Time [seconds]	Counts
4.98549e+11	142
1.49565e+12	159
2.49275e+12	166
3.48985e+12	126
4.48694e+12	150
5.48404e+12	148
6.48114e+12	133
7.47824e+12	148
8.47534e+12	156
9.47244e+12	140
1.04695e+13	155
1.14666e+13	151
1.24637e+13	151
1.34608e+13	146
1.44579e+13	166
1.5455e+13	163
1.64521e+13	152
1.74492e+13	133
1.84463e+13	139
1.94434e+13	149
2.04405e+13	148
2.14376e+13	144
2.24347e+13	161
2.34318e+13	153
2.44289e+13	151
2.5426e+13	145
2.64231e+13	147
2.74202e+13	161
2.84173e+13	171
2.94144e+13	159
3.04115e+13	141
3.14086e+13	163
3.24057e+13	171
3.34028e+13	155
3.43999e+13	142
3.5397e+13	163
3.63941e+13	152
3.73912e+13	155
3.83883e+13	143
3.93854e+13	147
4.03825e+13	164
4.13796e+13	140
4.23767e+13	155
4.33738e+13	159
4.43709e+13	166
4.5368e+13	145
4.63651e+13	145
4.73622e+13	143
4.83593e+13	143
4.93564e+13	139
5.03535e+13	165
5.13506e+13	157
5.23477e+13	160
5.33448e+13	182
5.43419e+13	153
5.5339e+13	144
5.63361e+13	151
5.73332e+13	151
5.83303e+13	158
5.93274e+13	140
6.03245e+13	176
6.13216e+13	153
6.23187e+13	142
6.33158e+13	139
6.43129e+13	143
6.531e+13	167
6.63071e+13	163
6.73042e+13	149
6.83013e+13	148
6.92984e+13	157
7.02955e+13	169
7.12926e+13	141
7.22897e+13	177
7.32868e+13	145
7.42839e+13	144
7.5281e+13	137
7.62781e+13	142
7.72752e+13	155
7.82723e+13	177
7.92694e+13	147
8.02665e+13	147
8.12635e+13	139
8.22607e+13	143
8.32577e+13	149
8.42549e+13	134
8.52519e+13	130
8.6249e+13	144
8.72461e+13	147
8.82432e+13	128
8.92403e+13	165
9.02374e+13	156
9.12345e+13	152
9.22316e+13	155
9.32287e+13	147
9.42258e+13	128
9.52229e+13	154
9.622e+13	151
9.72171e+13	145
9.82142e+13	143
9.92113e+13	164
1.00208e+14	127
1.01206e+14	152
1.02203e+14	144
1.032e+14	135
1.04197e+14	158
1.05194e+14	163
1.06191e+14	168
1.07188e+14	157
1.08185e+14	126
1.09182e+14	163
1.10179e+14	149
1.11177e+14	156
1.12174e+14	151
1.13171e+14	134
1.14168e+14	161
1.15165e+14	156
1.16162e+14	151
1.17159e+14	164
1.18156e+14	161
1.19153e+14	142
1.2015e+14	142
1.21148e+14	150
1.22145e+14	155
1.23142e+14	137
1.24139e+14	152
1.25136e+14	151
1.26133e+14	150
1.2713e+14	159
1.28127e+14	146
1.29124e+14	151
1.30121e+14	150
1.31118e+14	139
1.32116e+14	166
1.33113e+14	163
1.3411e+14	160
1.35107e+14	150
1.36104e+14	164
1.37101e+14	138
1.38098e+14	146
1.39095e+14	151
1.40092e+14	146
1.41089e+14	174
1.42087e+14	159
1.43084e+14	145
1.44081e+14	158
1.45078e+14	158
1.46075e+14	180
1.47072e+14	139
1.48069e+14	148
1.49066e+14	151
1.50063e+14	146
1.5106e+14	170
1.52058e+14	151
1.53055e+14	171
1.54052e+14	137
1.55049e+14	152
1.56046e+14	137
1.57043e+14	161
1.5804e+14	148
1.59037e+14	156
1.60034e+14	139
1.61031e+14	152
1.62029e+14	155
1.63026e+14	169
1.64023e+14	126
1.6502e+14	154
1.66017e+14	133
1.67014e+14	162
1.68011e+14	173
1.69008e+14	142
1.70005e+14	167
1.71002e+14	171
1.72e+14	148
1.72997e+14	137
1.73994e+14	152
1.74991e+14	164
1.75988e+14	171
1.76985e+14	143
1.77982e+14	160
1.78979e+14	149
1.79976e+14	151
1.80973e+14	173
1.81971e+14	164
1.82968e+14	170
1.83965e+14	141
1.84962e+14	156
1.85959e+14	141
1.86956e+14	126
1.87953e+14	145
1.8895e+14	186
1.89947e+14	131
1.90944e+14	138
1.91942e+14	157
1.92939e+14	160
1.93936e+14	149
1.94933e+14	165
1.9593e+14	162
1.96927e+14	163
1.97924e+14	158
1.98921e+14	154
1.99918e+14	166
2.00915e+14	157
2.01913e+14	164
2.0291e+14	174
2.03907e+14	159
2.04904e+14	154
2.05901e+14	148
2.06898e+14	151
2.07895e+14	134
2.08892e+14	176
2.09889e+14	167
2.10886e+14	148
2.11883e+14	152
2.12881e+14	147
2.13878e+14	130
2.14875e+14	141
2.15872e+14	161
2.16869e+14	160
2.17866e+14	159
2.18863e+14	143
2.1986e+14	158
2.20857e+14	160
2.21854e+14	146
2.22852e+14	143
2.23849e+14	132
2.24846e+14	137
2.25843e+14	172
2.2684e+14	172
2.27837e+14	164
2.28834e+14	161
2.29831e+14	151
2.30828e+14	151
2.31825e+14	150
2.32823e+14	143
2.3382e+14	149
2.34817e+14	146
2.35814e+14	149
2.36811e+14	168
2.37808e+14	165
2.38805e+14	140
2.39802e+14	161
2.40799e+14	161
2.41796e+14	152
2.42794e+14	140
2.43791e+14	155
2.44788e+14	157
2.45785e+14	156
2.46782e+14	155
2.47779e+14	145
2.48776e+14	161
2.49773e+14	178
2.5077e+14	138
2.51767e+14	152
2.52765e+14	136
2.53762e+14	138
2.54759e+14	160
2.55756e+14	152
2.56753e+14	146
2.5775e+14	158
2.58747e+14	131
2.59744e+14	144
2.60741e+14	148
2.61738e+14	135
2.62736e+14	145
2.63733e+14	118
2.6473e+14	142
2.65727e+14	168
2.66724e+14	141
2.67721e+14	129
2.68718e+14	135
2.69715e+14	155
2.70712e+14	144
2.71709e+14	160
2.72707e+14	134
2.73704e+14	150
2.74701e+14	153
2.75698e+14	139
2.76695e+14	169
2.77692e+14	148
2.78689e+14	141
2.79686e+14	136
2.80683e+14	153
2.8168e+14	179
2.82678e+14	150
2.83675e+14	162
2.84672e+14	168
2.85669e+14	152
2.86666e+14	153
2.87663e+14	152
2.8866e+14	124
2.89657e+14	150
2.90654e+14	166
2.91651e+14	168
2.92649e+14	181
2.93646e+14	174
2.94643e+14	178
2.9564e+14	161
2.96637e+14	148
2.97634e+14	155
2.98631e+14	161
2.99628e+14	139
