Time [seconds]	Counts
4.99517e+11	131
1.49855e+12	133
2.49759e+12	175
3.49662e+12	167
4.49565e+12	141
5.49469e+12	147
6.49372e+12	162
7.49276e+12	140
8.49179e+12	142
9.49082e+12	147
1.04899e+13	163
1.14889e+13	162
1.24879e+13	151
1.3487e+13	139
1.4486e+13	162
1.5485e+13	162
1.64841e+13	155
1.74831e+13	136
1.84821e+13	140
1.94812e+13	144
2.04802e+13	156
2.14792e+13	151
2.24783e+13	169
2.34773e+13	154
2.44763e+13	149
2.54754e+13	146
2.64744e+13	171
2.74734e+13	159
2.84725e+13	175
2.94715e+13	150
3.04705e+13	146
3.14696e+13	155
3.24686e+13	165
3.34676e+13	150
3.44667e+13	154
3.54657e+13	142
3.64647e+13	132
3.74638e+13	167
3.84628e+13	168
3.94618e+13	157
4.04609e+13	165
4.14599e+13	160
4.24589e+13	148
4.3458e+13	148
4.4457e+13	162
4.54561e+13	149
4.64551e+13	146
4.74541e+13	144
4.84532e+13	149
4.94522e+13	169
5.04512e+13	152
5.14503e+13	157
5.24493e+13	143
5.34483e+13	170
5.44474e+13	146
5.54464e+13	161
5.64454e+13	135
5.74445e+13	136
5.84435e+13	177
5.94425e+13	153
6.04416e+13	157
6.14406e+13	152
6.24396e+13	154
6.34387e+13	150
6.44377e+13	144
6.54367e+13	147
6.64358e+13	131
6.74348e+13	163
6.84338e+13	142
6.94329e+13	135
7.04319e+13	180
7.14309e+13	159
7.243e+13	154
7.3429e+13	155
7.4428e+13	150
7.54271e+13	153
7.64261e+13	144
7.74251e+13	136
7.84242e+13	134
7.94232e+13	134
8.04222e+13	138
8.14213e+13	155
8.24203e+13	152
8.34193e+13	149
8.44184e+13	162
8.54174e+13	161
8.64164e+13	138
8.74155e+13	139
8.84145e+13	153
8.94136e+13	158
9.04126e+13	161
9.14116e+13	151
9.24107e+13	167
9.34097e+13	157
9.44087e+13	160
9.54078e+13	169
9.64068e+13	172
9.74058e+13	154
9.84049e+13	153
9.94039e+13	144
1.00403e+14	148
1.01402e+14	145
1.02401e+14	158
1.034e+14	145
1.04399e+14	137
1.05398e+14	183
1.06397e+14	158
1.07396e+14	132
1.08395e+14	143
1.09394e+14	148
1.10393e+14	142
1.11392e+14	147
1.12391e+14	155
