Time [seconds]	Counts
4.98496e+11	129
1.49549e+12	102
2.49248e+12	122
3.48947e+12	143
4.48646e+12	108
5.48345e+12	116
6.48045e+12	125
7.47744e+12	104
8.47443e+12	124
9.47142e+12	117
1.04684e+13	131
1.14654e+13	138
1.24624e+13	115
1.34594e+13	120
1.44564e+13	108
1.54534e+13	133
1.64504e+13	135
1.74474e+13	130
1.84443e+13	111
1.94413e+13	133
2.04383e+13	121
2.14353e+13	122
2.24323e+13	146
2.34293e+13	130
2.44263e+13	129
2.54233e+13	130
2.64203e+13	117
2.74173e+13	115
2.84143e+13	117
2.94113e+13	124
3.04082e+13	137
3.14052e+13	126
3.24022e+13	131
3.33992e+13	119
3.43962e+13	131
3.53932e+13	111
3.63902e+13	116
3.73872e+13	150
3.83842e+13	118
3.93812e+13	130
4.03782e+13	116
4.13752e+13	107
4.23721e+13	125
4.33691e+13	108
4.43661e+13	120
4.53631e+13	140
4.63601e+13	109
4.73571e+13	122
4.83541e+13	120
4.93511e+13	114
5.03481e+13	118
5.13451e+13	121
5.23421e+13	108
5.33391e+13	124
5.4336e+13	121
5.5333e+13	132
5.633e+13	121
5.7327e+13	131
5.8324e+13	123
5.9321e+13	127
6.0318e+13	118
6.1315e+13	145
6.2312e+13	120
6.3309e+13	120
6.4306e+13	116
6.5303e+13	116
6.62999e+13	94
6.72969e+13	127
6.82939e+13	121
6.92909e+13	152
7.02879e+13	116
7.12849e+13	100
7.22819e+13	120
7.32789e+13	121
7.42759e+13	125
7.52729e+13	126
7.62699e+13	134
7.72669e+13	109
7.82639e+13	124
7.92608e+13	134
8.02578e+13	106
8.12548e+13	129
8.22518e+13	125
8.32488e+13	125
8.42458e+13	133
8.52428e+13	130
8.62398e+13	119
8.72368e+13	127
8.82338e+13	120
8.92308e+13	126
9.02278e+13	120
9.12247e+13	120
9.22217e+13	128
9.32187e+13	120
9.42157e+13	113
9.52127e+13	123
9.62097e+13	114
9.72067e+13	107
9.82037e+13	108
9.92007e+13	127
1.00198e+14	110
1.01195e+14	108
1.02192e+14	117
1.03189e+14	117
1.04186e+14	116
1.05183e+14	149
1.0618e+14	116
1.07177e+14	114
1.08174e+14	116
1.09171e+14	140
1.10168e+14	141
1.11165e+14	115
1.12162e+14	134
1.13159e+14	120
1.14156e+14	125
1.15153e+14	130
1.1615e+14	99
1.17147e+14	124
1.18144e+14	108
1.19141e+14	135
1.20137e+14	122
1.21134e+14	111
1.22131e+14	120
1.23128e+14	125
1.24125e+14	115
1.25122e+14	119
1.26119e+14	128
1.27116e+14	132
1.28113e+14	147
1.2911e+14	125
1.30107e+14	121
1.31104e+14	107
1.32101e+14	118
1.33098e+14	105
1.34095e+14	116
1.35092e+14	124
1.36089e+14	118
1.37086e+14	112
1.38083e+14	113
1.3908e+14	121
1.40077e+14	121
1.41074e+14	108
1.42071e+14	121
1.43068e+14	109
1.44065e+14	107
1.45062e+14	113
1.46059e+14	116
1.47056e+14	113
1.48053e+14	126
1.4905e+14	105
1.50047e+14	115
1.51044e+14	111
1.52041e+14	124
1.53038e+14	115
1.54035e+14	117
1.55032e+14	114
1.56029e+14	134
1.57026e+14	118
1.58023e+14	126
1.5902e+14	120
1.60017e+14	125
1.61014e+14	123
1.62011e+14	130
1.63008e+14	103
1.64005e+14	107
1.65002e+14	137
1.65999e+14	111
1.66996e+14	130
1.67993e+14	104
1.6899e+14	122
1.69987e+14	127
1.70984e+14	123
1.71981e+14	113
1.72978e+14	134
1.73975e+14	127
1.74972e+14	121
1.75969e+14	106
1.76966e+14	122
1.77963e+14	133
1.7896e+14	115
1.79957e+14	106
1.80954e+14	101
1.81951e+14	128
1.82948e+14	106
1.83945e+14	123
1.84942e+14	132
1.85939e+14	114
1.86936e+14	122
1.87933e+14	123
1.8893e+14	117
1.89927e+14	144
1.90924e+14	125
1.91921e+14	135
1.92918e+14	124
1.93915e+14	99
1.94912e+14	122
1.95909e+14	131
1.96906e+14	122
1.97903e+14	140
1.989e+14	138
1.99897e+14	123
2.00894e+14	98
2.01891e+14	118
2.02888e+14	149
2.03885e+14	123
2.04882e+14	121
2.05879e+14	118
2.06876e+14	113
2.07873e+14	113
2.0887e+14	115
2.09867e+14	105
2.10864e+14	135
2.11861e+14	125
2.12858e+14	115
2.13855e+14	118
2.14852e+14	115
2.15849e+14	131
2.16846e+14	133
2.17843e+14	122
2.1884e+14	131
2.19837e+14	117
2.20834e+14	125
2.21831e+14	130
2.22828e+14	119
2.23825e+14	113
2.24822e+14	139
2.25819e+14	104
2.26816e+14	116
2.27813e+14	115
2.2881e+14	123
2.29807e+14	114
2.30804e+14	113
2.31801e+14	108
2.32798e+14	128
2.33795e+14	128
2.34792e+14	130
2.35789e+14	127
2.36786e+14	148
2.37783e+14	117
2.3878e+14	135
2.39776e+14	115
2.40773e+14	115
2.4177e+14	115
2.42767e+14	83
2.43764e+14	118
2.44761e+14	113
2.45758e+14	114
2.46755e+14	96
2.47752e+14	118
2.48749e+14	113
2.49746e+14	98
2.50743e+14	149
2.5174e+14	120
2.52737e+14	120
2.53734e+14	115
2.54731e+14	127
2.55728e+14	123
2.56725e+14	133
2.57722e+14	117
2.58719e+14	129
2.59716e+14	112
2.60713e+14	131
2.6171e+14	135
2.62707e+14	118
2.63704e+14	123
2.64701e+14	130
2.65698e+14	127
2.66695e+14	120
2.67692e+14	108
2.68689e+14	115
2.69686e+14	111
2.70683e+14	117
2.7168e+14	123
2.72677e+14	132
2.73674e+14	111
2.74671e+14	101
2.75668e+14	133
2.76665e+14	108
2.77662e+14	106
2.78659e+14	125
2.79656e+14	124
2.80653e+14	124
2.8165e+14	111
2.82647e+14	127
2.83644e+14	110
2.84641e+14	125
2.85638e+14	132
2.86635e+14	107
2.87632e+14	94
2.88629e+14	138
