Channel	Counts
0.499969	18
1.49991	0
2.49985	0
3.49979	0
4.49973	0
5.49966	0
6.4996	0
7.49954	0
8.49948	0
9.49942	0
10.4994	0
11.4993	0
12.4992	0
13.4992	0
14.4991	0
15.4991	0
16.499	0
17.4989	0
18.4989	0
19.4988	0
20.4987	0
21.4987	0
22.4986	0
23.4986	0
24.4985	0
25.4984	0
26.4984	0
27.4983	0
28.4983	0
29.4982	0
30.4981	0
31.4981	0
32.498	0
33.498	0
34.4979	0
35.4978	0
36.4978	0
37.4977	0
38.4977	0
39.4976	0
40.4975	0
41.4975	0
42.4974	0
43.4973	0
44.4973	0
45.4972	0
46.4972	0
47.4971	0
48.497	1
49.497	0
50.4969	0
51.4969	0
52.4968	0
53.4967	0
54.4967	0
55.4966	0
56.4966	0
57.4965	0
58.4964	0
59.4964	0
60.4963	0
61.4962	0
62.4962	0
63.4961	0
64.4961	0
65.496	0
66.4959	0
67.4959	0
68.4958	0
69.4958	0
70.4957	0
71.4956	0
72.4956	0
73.4955	0
74.4955	0
75.4954	0
76.4953	0
77.4953	0
78.4952	0
79.4951	0
80.4951	0
81.495	0
82.495	0
83.4949	0
84.4948	0
85.4948	0
86.4947	1
87.4947	0
88.4946	0
89.4945	0
90.4945	0
91.4944	0
92.4944	0
93.4943	0
94.4942	0
95.4942	0
96.4941	0
97.494	0
98.494	0
99.4939	1
100.494	0
101.494	0
102.494	0
103.494	0
104.494	0
105.494	0
106.493	1
107.493	0
108.493	0
109.493	0
110.493	0
111.493	0
112.493	0
113.493	1
114.493	0
115.493	0
116.493	0
117.493	0
118.493	0
119.493	0
120.493	0
121.493	0
122.493	0
123.492	0
124.492	0
125.492	0
126.492	0
127.492	0
128.492	1
129.492	0
130.492	0
131.492	0
132.492	1
133.492	1
134.492	2
135.492	2
136.492	0
137.492	0
138.492	0
139.491	0
140.491	1
141.491	0
142.491	2
143.491	4
144.491	3
145.491	6
146.491	2
147.491	1
148.491	0
149.491	2
150.491	6
151.491	3
152.491	4
153.491	3
154.491	2
155.491	1
156.49	3
157.49	14
158.49	5
159.49	11
160.49	9
161.49	3
162.49	6
163.49	7
164.49	6
165.49	10
166.49	8
167.49	6
168.49	8
169.49	10
170.49	11
171.49	10
172.489	9
173.489	5
174.489	9
175.489	15
176.489	3
177.489	10
178.489	10
179.489	3
180.489	8
181.489	12
182.489	11
183.489	13
184.489	8
185.489	6
186.489	20
187.489	9
188.488	10
189.488	11
190.488	12
191.488	9
192.488	15
193.488	10
194.488	13
195.488	16
196.488	19
197.488	13
198.488	14
199.488	15
200.488	16
201.488	9
202.488	16
203.488	16
204.488	16
205.487	10
206.487	14
207.487	17
208.487	19
209.487	12
210.487	10
211.487	15
212.487	17
213.487	14
214.487	8
215.487	15
216.487	15
217.487	14
218.487	14
219.487	18
220.487	13
221.486	16
222.486	12
223.486	7
224.486	14
225.486	13
226.486	10
227.486	9
228.486	9
229.486	17
230.486	9
231.486	15
232.486	11
233.486	14
234.486	25
235.486	16
236.486	24
237.486	19
238.485	22
239.485	17
240.485	15
241.485	16
242.485	19
243.485	15
244.485	22
245.485	20
246.485	16
247.485	17
248.485	15
249.485	22
250.485	16
251.485	24
252.485	25
253.485	16
254.484	12
255.484	22
256.484	20
257.484	13
258.484	15
259.484	17
260.484	14
261.484	19
262.484	29
263.484	19
264.484	23
265.484	18
266.484	22
267.484	31
268.484	21
269.484	29
270.483	25
271.483	29
272.483	25
273.483	31
274.483	16
275.483	21
276.483	33
277.483	26
278.483	21
279.483	25
280.483	30
281.483	19
282.483	24
283.483	25
284.483	28
285.483	31
286.483	33
287.482	25
288.482	36
289.482	24
290.482	20
291.482	29
292.482	27
293.482	31
294.482	38
295.482	29
296.482	28
297.482	34
298.482	38
299.482	30
300.482	38
301.482	23
302.482	28
303.481	25
304.481	41
305.481	32
306.481	35
307.481	37
308.481	41
309.481	30
310.481	30
311.481	31
312.481	38
313.481	32
314.481	31
315.481	34
316.481	34
317.481	26
318.481	44
319.48	28
320.48	30
321.48	40
322.48	29
323.48	40
324.48	36
325.48	42
326.48	27
327.48	38
328.48	28
329.48	35
330.48	35
331.48	32
332.48	36
333.48	43
334.48	27
335.48	37
336.479	42
337.479	43
338.479	41
339.479	40
340.479	33
341.479	44
342.479	51
343.479	37
344.479	41
345.479	40
346.479	43
347.479	48
348.479	39
349.479	34
350.479	35
351.479	40
352.478	44
353.478	42
354.478	35
355.478	36
356.478	45
357.478	30
358.478	34
359.478	41
360.478	36
361.478	50
362.478	30
363.478	37
364.478	40
365.478	44
366.478	44
367.478	47
368.478	42
369.477	52
370.477	39
371.477	29
372.477	45
373.477	41
374.477	54
375.477	33
376.477	42
377.477	51
378.477	44
379.477	41
380.477	48
381.477	43
382.477	46
383.477	43
384.477	41
